time,x,y,yaw,vx,vy,yaw_rate,lat_accel_g
0,0.0299988,0,0,29.9988,0,0,0
0.01,0.329922,0,0,29.9874,0,0,0
0.02,0.62974,0,0,29.9774,0,0,0
0.03,0.929467,0,0,29.969,0,0,0
0.04,1.22912,0,0,29.9622,0,0,0
0.05,1.52871,0,0,29.9568,0,0,0
0.06,1.82825,0,0,29.9529,0,0,0
0.07,2.12777,0,0,29.9505,0,0,0
0.08,2.42727,0,0,29.9497,0,0,0
0.09,2.72677,0,0,29.9503,0,0,0
0.1,3.02628,0,0,29.9525,0,0,0
0.11,3.32582,0,0,29.9561,0,0,0
0.12,3.62541,0,0,29.9613,0,0,0
0.13,3.92506,0,0,29.9679,0,0,0
0.14,4.22478,0,0,29.976,0,0,0
0.15,4.5246,0,0,29.9857,0,0,0
0.16,4.82451,0,0,29.9968,0,0,0
0.17,5.12455,0,0,30.0095,0,0,0
0.18,5.42472,0,0,30.0236,0,0,0
0.19,5.72504,0,0,30.0392,0,0,0
0.2,6.02552,0,0,30.0563,0,0,0
0.21,6.32619,0,0,30.0749,0,0,0
0.22,6.62705,0,0,30.095,0,0,0
0.23,6.92811,0,0,30.1165,0,0,0
0.24,7.2294,0,0,30.1396,0,0,0
0.25,7.53093,0,0,30.1641,0,0,0
0.26,7.83272,0,0,30.1901,0,0,0
0.27,8.13477,0,0,30.2176,0,0,0
0.28,8.4371,0,0,30.2466,0,0,0
0.29,8.73974,0,0,30.2771,0,0,0
0.3,9.04268,0,0,30.309,0,0,0
0.31,9.34595,0,0,30.3424,0,0,0
0.32,9.64957,0,0,30.3773,0,0,0
0.33,9.95354,0,0,30.4137,0,0,0
0.34,10.2579,0,0,30.4515,0,0,0
0.35,10.5626,0,0,30.4908,0,0,0
0.36,10.8677,0,0,30.5316,0,0,0
0.37,11.1733,0,0,30.5739,0,0,0
0.38,11.4793,0,0,30.6176,0,0,0
0.39,11.7857,0,0,30.6628,0,0,0
0.4,12.0926,0,0,30.7094,0,0,0
0.41,12.3999,0,0,30.7575,0,0,0
0.42,12.7078,0,0,30.8071,0,0,0
0.43,13.0161,0,0,30.8581,0,0,0
0.44,13.325,0,0,30.9106,0,0,0
0.45,13.6344,0,0,30.9646,0,0,0
0.46,13.9444,0,0,31.02,0,0,0
0.47,14.2549,0,0,31.0768,0,0,0
0.48,14.566,0,0,31.1352,0,0,0
0.49,14.8776,0,0,31.1949,0,0,0
0.5,15.1899,0,0,31.2562,0,0,0
0.51,15.5028,0,0,31.3188,0,0,0
0.52,15.8164,0,0,31.383,0,0,0
0.53,16.1305,0,0,31.4485,0,0,0
0.54,16.4454,0,0,31.5155,0,0,0
0.55,16.7609,0,0,31.584,0,0,0
0.56,17.0772,0,0,31.6539,0,0,0
0.57,17.3941,0,0,31.7253,0,0,0
0.58,17.7117,0,0,31.798,0,0,0
0.59,18.0301,0,0,31.8723,0,0,0
0.6,18.3493,0,0,31.9479,0,0,0
0.61,18.6692,0,0,32.025,0,0,0
0.62,18.9898,0,0,32.1036,0,0,0
0.63,19.3113,0,0,32.1836,0,0,0
0.64,19.6336,0,0,32.265,0,0,0
0.65,19.9567,0,0,32.3478,0,0,0
0.66,20.2806,0,0,32.4321,0,0,0
0.67,20.6054,0,0,32.5178,0,0,0
0.68,20.9311,0,0,32.6049,0,0,0
0.69,21.2576,0,0,32.6934,0,0,0
0.7,21.5851,0,0,32.7834,0,0,0
0.71,21.9134,0,0,32.8748,0,0,0
0.72,22.2426,0,0,32.9676,0,0,0
0.73,22.5728,0,0,33.0618,0,0,0
0.74,22.904,0,0,33.1575,0,0,0
0.75,23.2361,0,0,33.2545,0,0,0
0.76,23.5692,0,0,33.353,0,0,0
0.77,23.9033,0,0,33.4529,0,0,0
0.78,24.2383,0,0,33.5542,0,0,0
0.79,24.5744,0,0,33.6569,0,0,0
0.8,24.9116,0,0,33.761,0,0,0
0.81,25.2498,0,0,33.8657,0,0,0
0.82,25.589,0,0,33.9708,0,0,0
0.83,25.9293,0,0,34.0762,0,0,0
0.84,26.2706,0,0,34.1818,0,0,0
0.85,26.613,0,0,34.2879,0,0,0
0.86,26.9565,0,0,34.3942,0,0,0
0.87,27.301,0,0,34.5009,0,0,0
0.88,27.6466,0,0,34.6078,0,0,0
0.89,27.9933,0,0,34.7151,0,0,0
0.9,28.341,0,0,34.8228,0,0,0
0.91,28.6899,0,0,34.9307,0,0,0
0.92,29.0398,0,0,35.039,0,0,0
0.93,29.3907,0,0,35.1476,0,0,0
0.94,29.7428,0,0,35.2565,0,0,0
0.95,30.096,0,0,35.3658,0,0,0
0.96,30.4502,0,0,35.4753,0,0,0
0.97,30.8056,0,0,35.5852,0,0,0
0.98,31.1621,0,0,35.6955,0,0,0
0.99,31.5196,0,0,35.806,0,0,0
1,31.8783,0,0,35.9169,0,0,0
1.01,32.2381,0,0,36.028,0,0,0
1.02,32.599,0,0,36.1393,0,0,0
1.03,32.961,0,0,36.2506,0,0,0
1.04,33.3241,0,0,36.3621,0,0,0
1.05,33.6883,0,0,36.4738,0,0,0
1.06,34.0537,0,0,36.5855,0,0,0
1.07,34.4202,0,0,36.6974,0,0,0
1.08,34.7877,0,0,36.8095,0,0,0
1.09,35.1565,0,0,36.9216,0,0,0
1.1,35.5263,0,0,37.0339,0,0,0
1.11,35.8972,0,0,37.1464,0,0,0
1.12,36.2693,0,0,37.259,0,0,0
1.13,36.6425,0,0,37.3717,0,0,0
1.14,37.0169,0,0,37.4846,0,0,0
1.15,37.3923,0,0,37.5975,0,0,0
1.16,37.7689,0,0,37.7107,0,0,0
1.17,38.1467,0,0,37.824,0,0,0
1.18,38.5255,0,0,37.9374,0,0,0
1.19,38.9055,0,0,38.0509,0,0,0
1.2,39.2867,0,0,38.1646,0,0,0
1.21,39.6689,0,0,38.2785,0,0,0
1.22,40.0524,0,0,38.3925,0,0,0
1.23,40.4369,0,0,38.5066,0,0,0
1.24,40.8226,0,0,38.6209,0,0,0
1.25,41.2094,0,0,38.7353,0,0,0
1.26,41.5974,0,0,38.8499,0,0,0
1.27,41.9865,0,0,38.9646,0,0,0
1.28,42.3768,0,0,39.0795,0,0,0
1.29,42.7683,0,0,39.1945,0,0,0
1.3,43.1608,0,0,39.3096,0,0,0
1.31,43.5546,0,0,39.4249,0,0,0
1.32,43.9494,0,0,39.5404,0,0,0
1.33,44.3455,0,0,39.656,0,0,0
1.34,44.7427,0,0,39.7718,0,0,0
1.35,45.141,0,0,39.8877,0,0,0
1.36,45.5406,0,0,40.0038,0,0,0
1.37,45.9412,0,0,40.12,0,0,0
1.38,46.3431,0,0,40.2363,0,0,0
1.39,46.7461,0,0,40.3529,0,0,0
1.4,47.1502,0,0,40.4695,0,0,0
1.41,47.5556,0,0,40.5864,0,0,0
1.42,47.9621,0,0,40.7034,0,0,0
1.43,48.3698,0,0,40.8205,0,0,0
1.44,48.7786,0,0,40.9378,0,0,0
1.45,49.1886,0,0,41.0553,0,0,0
1.46,49.5998,0,0,41.1729,0,0,0
1.47,50.0122,0,0,41.2907,0,0,0
1.48,50.4258,0,0,41.4086,0,0,0
1.49,50.8405,0,0,41.5267,0,0,0
1.5,51.2564,0,0,41.645,0,0,0
1.51,51.6735,0,0,41.7634,0,0,0
1.52,52.0918,0,0,41.882,0,0,0
1.53,52.5113,0,0,42.0008,0,0,0
1.54,52.9319,0,0,42.1197,0,0,0
1.55,53.3538,0,0,42.2388,0,0,0
1.56,53.7768,0,0,42.358,0,0,0
1.57,54.2011,0,0,42.4774,0,0,0
1.58,54.6265,0,0,42.597,0,0,0
1.59,55.053,0,0,42.6749,0,0,0
1.6,55.4795,0,0,42.669,0,0,0
1.61,55.9046,0,0,42.371,0,0,0
1.62,56.3267,0,0,42.075,0,0,0
1.63,56.7463,0,0,41.8632,0,0,0
1.64,57.1634,0,0,41.5705,0,0,0
1.65,57.5775,0,0,41.2797,0,0,0
1.66,57.9887,0,0,40.9908,0,0,0
1.67,58.397,0,0,40.7037,0,0,0
1.68,58.8028,0,0,40.4583,0,0,0
1.69,59.2058,0,0,40.1746,0,0,0
1.7,59.6061,0,0,39.9322,0,0,0
1.71,60.0039,0,0,39.6517,0,0,0
1.72,60.3989,0,0,39.373,0,0,0
1.73,60.7914,0,0,39.1347,0,0,0
1.74,61.1812,0,0,38.8591,0,0,0
1.75,61.5684,0,0,38.6235,0,0,0
1.76,61.9531,0,0,38.351,0,0,0
1.77,62.3351,0,0,38.0801,0,0,0
1.78,62.7147,0,0,37.8483,0,0,0
1.79,63.0917,0,0,37.5804,0,0,0
1.8,63.4661,0,0,37.314,0,0,0
1.81,63.8381,0,0,37.0859,0,0,0
1.82,64.2075,0,0,36.8224,0,0,0
1.83,64.5744,0,0,36.5966,0,0,0
1.84,64.939,0,0,36.336,0,0,0
1.85,65.3009,0,0,36.0767,0,0,0
1.86,65.6607,0,0,35.8898,0,0,0
1.87,66.0182,0,0,35.6331,0,0,0
1.88,66.3731,0,0,35.3778,0,0,0
1.89,66.7258,0,0,35.1587,0,0,0
1.9,67.076,0,0,34.906,0,0,0
1.91,67.4236,0,0,34.6547,0,0,0
1.92,67.7694,0,0,34.4727,0,0,0
1.93,68.1128,0,0,34.2237,0,0,0
1.94,68.4537,0,0,33.9761,0,0,0
1.95,68.7927,0,0,33.7964,0,0,0
1.96,69.1293,0,0,33.5509,0,0,0
