time,x,y,yaw,vx,vy,yaw_rate,lat_accel_g,FL,FR,RL,RR
0,0.0299988,0,0,29.9988,0,0,0,2935.3,2935.3,2418.89,2418.89
0.01,0.329922,0,0,29.9874,0,0,0,2929.71,2929.71,2423.37,2423.37
0.02,0.62974,0,0,29.9774,0,0,0,2924.2,2924.2,2427.91,2427.91
0.03,0.929467,0,0,29.969,0,0,0,2918.77,2918.77,2432.52,2432.52
0.04,1.22912,0,0,29.9622,0,0,0,2913.41,2913.41,2437.21,2437.21
0.05,1.52871,0,0,29.9568,0,0,0,2908.13,2908.13,2441.96,2441.96
0.06,1.82825,0,0,29.9529,0,0,0,2902.93,2902.93,2446.77,2446.77
0.07,2.12777,0,0,29.9505,0,0,0,2897.8,2897.8,2451.66,2451.66
0.08,2.42727,0,0,29.9497,0,0,0,2892.75,2892.75,2456.62,2456.62
0.09,2.72677,0,0,29.9503,0,0,0,2887.77,2887.77,2461.64,2461.64
0.1,3.02628,0,0,29.9525,0,0,0,2882.88,2882.88,2466.73,2466.73
0.11,3.32582,0,0,29.9561,0,0,0,2878.05,2878.05,2471.89,2471.89
0.12,3.62541,0,0,29.9613,0,0,0,2873.31,2873.31,2477.11,2477.11
0.13,3.92506,0,0,29.9679,0,0,0,2868.63,2868.63,2482.41,2482.41
0.14,4.22478,0,0,29.976,0,0,0,2864.04,2864.04,2487.77,2487.77
0.15,4.5246,0,0,29.9857,0,0,0,2859.52,2859.52,2493.2,2493.2
0.16,4.82451,0,0,29.9968,0,0,0,2855.08,2855.08,2498.69,2498.69
0.17,5.12455,0,0,30.0095,0,0,0,2850.71,2850.71,2504.26,2504.26
0.18,5.42472,0,0,30.0236,0,0,0,2846.42,2846.42,2509.89,2509.89
0.19,5.72504,0,0,30.0392,0,0,0,2842.21,2842.21,2515.59,2515.59
0.2,6.02552,0,0,30.0563,0,0,0,2838.07,2838.07,2521.36,2521.36
0.21,6.32619,0,0,30.0749,0,0,0,2834.01,2834.01,2527.2,2527.2
0.22,6.62705,0,0,30.095,0,0,0,2830.02,2830.02,2533.1,2533.1
0.23,6.92811,0,0,30.1165,0,0,0,2826.11,2826.11,2539.07,2539.07
0.24,7.2294,0,0,30.1396,0,0,0,2822.28,2822.28,2545.11,2545.11
0.25,7.53093,0,0,30.1641,0,0,0,2818.52,2818.52,2551.22,2551.22
0.26,7.83272,0,0,30.1901,0,0,0,2814.84,2814.84,2557.4,2557.4
0.27,8.13477,0,0,30.2176,0,0,0,2811.24,2811.24,2563.65,2563.65
0.28,8.4371,0,0,30.2466,0,0,0,2807.72,2807.72,2569.96,2569.96
0.29,8.73974,0,0,30.2771,0,0,0,2804.27,2804.27,2576.34,2576.34
0.3,9.04268,0,0,30.309,0,0,0,2800.9,2800.9,2582.8,2582.8
0.31,9.34595,0,0,30.3424,0,0,0,2797.6,2797.6,2589.32,2589.32
0.32,9.64957,0,0,30.3773,0,0,0,2794.39,2794.39,2595.91,2595.91
0.33,9.95354,0,0,30.4137,0,0,0,2791.25,2791.25,2602.57,2602.57
0.34,10.2579,0,0,30.4515,0,0,0,2788.19,2788.19,2609.3,2609.3
