time,x,y,yaw,vx,vy,yaw_rate,lat_accel_g,FL,FR,RL,RR
0,0.0300105,0,0,30.0105,0,0,0,2435.8,2435.8,2918.39,2918.39
0.01,0.330691,0,0,30.1151,0,0,0,2441.12,2441.12,2923.13,2923.13
0.02,0.632418,0,0,30.2199,0,0,0,2446.47,2446.47,2927.9,2927.9
0.03,0.935194,0,0,30.3248,0,0,0,2451.84,2451.84,2932.69,2932.69
0.04,1.23902,0,0,30.4298,0,0,0,2457.23,2457.23,2937.5,2937.5
0.05,1.5439,0,0,30.5349,0,0,0,2462.65,2462.65,2942.33,2942.33
0.06,1.84982,0,0,30.6401,0,0,0,2468.09,2468.09,2947.18,2947.18
0.07,2.1568,0,0,30.7454,0,0,0,2473.55,2473.55,2952.05,2952.05
0.08,2.46484,0,0,30.8508,0,0,0,2479.04,2479.04,2956.95,2956.95
0.09,2.77393,0,0,30.9563,0,0,0,2484.56,2484.56,2961.86,2961.86
0.1,3.08407,0,0,31.062,0,0,0,2490.09,2490.09,2966.8,2966.8
0.11,3.39527,0,0,31.1677,0,0,0,2495.66,2495.66,2971.76,2971.76
0.12,3.70753,0,0,31.2736,0,0,0,2501.25,2501.25,2976.74,2976.74
0.13,4.02085,0,0,31.3795,0,0,0,2506.86,2506.86,2981.75,2981.75
0.14,4.33523,0,0,31.4856,0,0,0,2512.5,2512.5,2986.77,2986.77
0.15,4.65067,0,0,31.5918,0,0,0,2518.16,2518.16,2991.82,2991.82
0.16,4.96717,0,0,31.698,0,0,0,2523.84,2523.84,2996.89,2996.89
0.17,5.28473,0,0,31.8044,0,0,0,2529.56,2529.56,3001.99,3001.99
0.18,5.60337,0,0,31.9109,0,0,0,2535.29,2535.29,3007.1,3007.1
0.19,5.92306,0,0,32.0176,0,0,0,2541.06,2541.06,3012.24,3012.24
0.2,6.24382,0,0,32.1243,0,0,0,2546.85,2546.85,3017.4,3017.4
0.21,6.56565,0,0,32.2311,0,0,0,2552.66,2552.66,3022.58,3022.58
0.22,6.88855,0,0,32.3381,0,0,0,2558.5,2558.5,3027.79,3027.79
0.23,7.21252,0,0,32.4452,0,0,0,2564.36,2564.36,3033.02,3033.02
0.24,7.53756,0,0,32.5524,0,0,0,2570.25,2570.25,3038.27,3038.27
0.25,7.86368,0,0,32.6597,0,0,0,2576.17,2576.17,3043.55,3043.55
0.26,8.19087,0,0,32.7671,0,0,0,2582.11,2582.11,3048.84,3048.84
0.27,8.51913,0,0,32.8746,0,0,0,2588.08,2588.08,3054.16,3054.16
0.28,8.84847,0,0,32.9823,0,0,0,2594.07,2594.07,3059.51,3059.51
0.29,9.17888,0,0,33.09,0,0,0,2600.09,2600.09,3064.88,3064.88
0.3,9.51037,0,0,33.1979,0,0,0,2606.14,2606.14,3070.27,3070.27
0.31,9.84295,0,0,33.3059,0,0,0,2612.21,2612.21,3075.68,3075.68
0.32,10.1766,0,0,33.414,0,0,0,2618.31,2618.31,3081.12,3081.12
0.33,10.5113,0,0,33.5223,0,0,0,2624.44,2624.44,3086.58,3086.58
0.34,10.8472,0,0,33.6306,0,0,0,2630.59,2630.59,3092.07,3092.07
0.35,11.1841,0,0,33.7391,0,0,0,2636.77,2636.77,3097.58,3097.58
0.36,11.522,0,0,33.8477,0,0,0,2642.97,2642.97,3103.11,3103.11
0.37,11.8611,0,0,33.9564,0,0,0,2649.2,2649.2,3108.67,3108.67
0.38,12.2013,0,0,34.0653,0,0,0,2655.46,2655.46,3114.25,3114.25
0.39,12.5425,0,0,34.1742,0,0,0,2661.75,2661.75,3119.85,3119.85
0.4,12.8849,0,0,34.2833,0,0,0,2668.06,2668.06,3125.48,3125.48
0.41,13.2283,0,0,34.3925,0,0,0,2674.41,2674.41,3131.14,3131.14
0.42,13.5728,0,0,34.5019,0,0,0,2680.77,2680.77,3136.81,3136.81
0.43,13.9185,0,0,34.6113,0,0,0,2687.17,2687.17,3142.52,3142.52
0.44,14.2652,0,0,34.7209,0,0,0,2693.59,2693.59,3148.24,3148.24
0.45,14.613,0,0,34.8306,0,0,0,2700.04,2700.04,3154,3154
0.46,14.9619,0,0,34.9404,0,0,0,2706.52,2706.52,3159.77,3159.77
0.47,15.3119,0,0,35.0504,0,0,0,2713.03,2713.03,3165.58,3165.58
0.48,15.663,0,0,35.1605,0,0,0,2719.56,2719.56,3171.4,3171.4
0.49,16.0152,0,0,35.2707,0,0,0,2726.13,2726.13,3177.25,3177.25
0.5,16.3685,0,0,35.381,0,0,0,2732.72,2732.72,3183.13,3183.13
0.51,16.723,0,0,35.4915,0,0,0,2739.34,2739.34,3189.03,3189.03
0.52,17.0785,0,0,35.6021,0,0,0,2745.99,2745.99,3194.96,3194.96
0.53,17.4351,0,0,35.7128,0,0,0,2752.66,2752.66,3200.91,3200.91
0.54,17.7929,0,0,35.8237,0,0,0,2759.37,2759.37,3206.89,3206.89
0.55,18.1517,0,0,35.9347,0,0,0,2766.1,2766.1,3212.9,3212.9
