time,x,y,yaw,vx,vy,yaw_rate,lat_accel_g
0,0.0300105,0,0,30.0105,0,0,0
0.01,0.330691,0,0,30.1151,0,0,0
0.02,0.632418,0,0,30.2199,0,0,0
0.03,0.935194,0,0,30.3248,0,0,0
0.04,1.23902,0,0,30.4298,0,0,0
0.05,1.5439,0,0,30.5349,0,0,0
0.06,1.84982,0,0,30.6401,0,0,0
0.07,2.1568,0,0,30.7454,0,0,0
0.08,2.46484,0,0,30.8508,0,0,0
0.09,2.77393,0,0,30.9563,0,0,0
0.1,3.08407,0,0,31.062,0,0,0
0.11,3.39527,0,0,31.1677,0,0,0
0.12,3.70753,0,0,31.2736,0,0,0
0.13,4.02085,0,0,31.3795,0,0,0
0.14,4.33523,0,0,31.4856,0,0,0
0.15,4.65067,0,0,31.5918,0,0,0
0.16,4.96717,0,0,31.698,0,0,0
0.17,5.28473,0,0,31.8044,0,0,0
0.18,5.60337,0,0,31.9109,0,0,0
0.19,5.92306,0,0,32.0176,0,0,0
0.2,6.24382,0,0,32.1243,0,0,0
0.21,6.56565,0,0,32.2311,0,0,0
0.22,6.88855,0,0,32.3381,0,0,0
0.23,7.21252,0,0,32.4452,0,0,0
0.24,7.53756,0,0,32.5524,0,0,0
0.25,7.86368,0,0,32.6597,0,0,0
0.26,8.19087,0,0,32.7671,0,0,0
0.27,8.51913,0,0,32.8746,0,0,0
0.28,8.84847,0,0,32.9823,0,0,0
0.29,9.17888,0,0,33.09,0,0,0
0.3,9.51037,0,0,33.1979,0,0,0
0.31,9.84295,0,0,33.3059,0,0,0
0.32,10.1766,0,0,33.414,0,0,0
0.33,10.5113,0,0,33.5223,0,0,0
0.34,10.8472,0,0,33.6306,0,0,0
0.35,11.1841,0,0,33.7391,0,0,0
0.36,11.522,0,0,33.8477,0,0,0
0.37,11.8611,0,0,33.9564,0,0,0
0.38,12.2013,0,0,34.0653,0,0,0
0.39,12.5425,0,0,34.1742,0,0,0
0.4,12.8849,0,0,34.2833,0,0,0
0.41,13.2283,0,0,34.3925,0,0,0
0.42,13.5728,0,0,34.5019,0,0,0
0.43,13.9185,0,0,34.6113,0,0,0
0.44,14.2652,0,0,34.7209,0,0,0
0.45,14.613,0,0,34.8306,0,0,0
0.46,14.9619,0,0,34.9404,0,0,0
0.47,15.3119,0,0,35.0504,0,0,0
0.48,15.663,0,0,35.1605,0,0,0
0.49,16.0152,0,0,35.2707,0,0,0
0.5,16.3685,0,0,35.381,0,0,0
0.51,16.723,0,0,35.4915,0,0,0
0.52,17.0785,0,0,35.6021,0,0,0
0.53,17.4351,0,0,35.7128,0,0,0
0.54,17.7929,0,0,35.8237,0,0,0
0.55,18.1517,0,0,35.9347,0,0,0
0.56,18.5117,0,0,36.0458,0,0,0
0.57,18.8727,0,0,36.1571,0,0,0
0.58,19.2349,0,0,36.2685,0,0,0
0.59,19.5982,0,0,36.38,0,0,0
0.6,19.9626,0,0,36.4916,0,0,0
0.61,20.3282,0,0,36.6034,0,0,0
0.62,20.6948,0,0,36.7153,0,0,0
0.63,21.0626,0,0,36.8274,0,0,0
0.64,21.4315,0,0,36.9396,0,0,0
0.65,21.8015,0,0,37.0519,0,0,0
0.66,22.1726,0,0,37.1644,0,0,0
0.67,22.5449,0,0,37.277,0,0,0
0.68,22.9183,0,0,37.3897,0,0,0
0.69,23.2928,0,0,37.5026,0,0,0
0.7,23.6684,0,0,37.6156,0,0,0
0.71,24.0452,0,0,37.7288,0,0,0
0.72,24.4231,0,0,37.8421,0,0,0
0.73,24.8022,0,0,37.9555,0,0,0
0.74,25.1823,0,0,38.0691,0,0,0
0.75,25.5637,0,0,38.1828,0,0,0
0.76,25.9461,0,0,38.2967,0,0,0
0.77,26.3297,0,0,38.4107,0,0,0
0.78,26.7144,0,0,38.5249,0,0,0
0.79,27.1003,0,0,38.6392,0,0,0
0.8,27.4873,0,0,38.7536,0,0,0
0.81,27.8755,0,0,38.8682,0,0,0
0.82,28.2648,0,0,38.9829,0,0,0
0.83,28.6553,0,0,39.0978,0,0,0
0.84,29.0469,0,0,39.2129,0,0,0
0.85,29.4397,0,0,39.3281,0,0,0
0.86,29.8336,0,0,39.4434,0,0,0
0.87,30.2286,0,0,39.5589,0,0,0
0.88,30.6249,0,0,39.6745,0,0,0
0.89,31.0222,0,0,39.7903,0,0,0
0.9,31.4208,0,0,39.9062,0,0,0
0.91,31.8205,0,0,40.0223,0,0,0
0.92,32.2213,0,0,40.1386,0,0,0
0.93,32.6234,0,0,40.2549,0,0,0
0.94,33.0266,0,0,40.3715,0,0,0
0.95,33.4309,0,0,40.4882,0,0,0
0.96,33.8364,0,0,40.6051,0,0,0
0.97,34.2431,0,0,40.7221,0,0,0
0.98,34.651,0,0,40.8392,0,0,0
